datetime,AAPL,cash,commission,total,returns,equity_curve,drawdown
2006-07-07,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-07-10,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-07-11,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-07-12,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-07-13,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-07-14,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-07-17,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-07-18,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-07-19,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-07-20,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-07-21,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-07-24,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-07-25,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-07-26,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-07-27,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-07-28,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-07-31,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-08-01,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-08-02,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-08-03,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-08-04,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-08-07,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-08-08,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-08-09,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-08-10,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-08-11,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-08-14,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-08-15,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-08-16,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-08-17,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-08-18,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-08-21,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-08-22,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-08-23,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-08-24,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-08-25,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
